Title,RankOverall,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,NumAwardsHonors,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,GameCategory_1,RankCategory_1,ScoreCategory_1,Mechanics,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Brass: Birmingham ,1,2018,40550,8.60963,8.42358,1.42141,3.8941,1908,105725,20,2,4,3,4.0,939,Strategy ,1,8.44357,"Hand Management
Income
Loans
Market
Network and Route Building
Tags
",$79.95,,,,,,
Pandemic Legacy: Season 1 ,2,2015,51353,8.53451,8.38838,1.60335,2.8335,1399,274344,30,2,4,4,4.0,820,Thematic,1,8.39183,"Action Points
Cooperative Game
Hand Management
Legacy Game
Point to Point Movement
Scenario / Mission / Campaign Game
",$70.00,Strategy ,2,8.37549,,,
Gloomhaven ,3,2017,59464,8.6138,8.37978,1.74914,3.8964,2442,488265,30,1,4,3,3.0,1467,Thematic,2,8.3572,"Action Queue
Action Retrieval
Campaign / Battle Card Driven
Card Play Conflict Resolution
Communication Limits
Cooperative Game
",$164.99,Strategy ,3,8.34351,,,
Ark Nova ,4,2021,34376,8.52884,8.31172,1.38446,3.7265,1839,202774,26,1,3,2,2.0,1402,Strategy ,4,8.33141,"End Game Bonuses
Hand Management
Hexagon Grid
Income
Increase Value of Unchosen Resources
Open Drafting
",$66.99,,,,,,
Twilight Imperium: Fourth Edition ,5,2017,21614,8.61272,8.2405,1.61667,4.3067,1027,35665,2,3,6,6,6.0,497,Thematic,3,8.26632,"Action Drafting
Area-Impulse
Dice Rolling
Follow
Grid Movement
Hexagon Grid
",$131.99,Strategy ,5,8.26545,,,
Terraforming Mars ,6,2016,92229,8.37147,8.22642,1.41097,3.2584,3788,564685,40,1,4,3,3.0,2361,Strategy ,6,8.20515,"Closed Drafting
Contracts
Enclosure
End Game Bonuses
Hand Management
Hexagon Grid
",$79.99,,,,,,
Dune: Imperium ,7,2020,37457,8.41906,8.19942,1.26961,3.0266,1317,125077,26,1,4,3,4.0,1071,Strategy ,7,8.20456,"Card Play Conflict Resolution
Deck, Bag, and Pool Building
Delayed Purchase
Force Commitment
Increase Value of Unchosen Resources
Multi-Use Cards
",$51.42,,,,,,
Gloomhaven: Jaws of the Lion ,8,2020,30454,8.48562,8.19768,1.47394,3.6328,885,149556,20,1,4,2,2.0,655,Thematic,5,8.21425,"Action Queue
Action Retrieval
Campaign / Battle Card Driven
Communication Limits
Cooperative Game
Critical Hits and Failures
",$37.47,Strategy ,9,8.17703,,,
War of the Ring: Second Edition ,9,2011,19650,8.53199,8.17524,1.4836,4.2037,1090,31676,0,2,2,2,2.0,462,War ,1,8.28118,"Action Drafting
Area Majority / Influence
Area Movement
Campaign / Battle Card Driven
Card Play Conflict Resolution
Dice Rolling
",$82.94,Thematic,4,8.23538,,,
Star Wars: Rebellion ,10,2016,30588,8.41736,8.16869,1.369,3.7394,1059,46734,17,2,2,2,2.0,620,Thematic,6,8.20383,"Area Majority / Influence
Area Movement
Area-Impulse
Card Play Conflict Resolution
Contracts
Delayed Purchase
",Unknown,,,,,,
Spirit Island ,11,2017,46116,8.35199,8.15043,1.50278,4.0634,2555,260975,16,1,4,2,2.0,1577,Strategy ,10,8.13311,"Action Retrieval
Area Majority / Influence
Automatic Resource Growth
Campaign / Battle Card Driven
Cooperative Game
Hand Management
",$71.66,,,,,,
Gaia Project ,12,2017,25267,8.40012,8.13465,1.4077,4.3943,1580,96167,14,1,4,3,4.0,662,Strategy ,8,8.17734,"End Game Bonuses
Hexagon Grid
Income
Modular Board
Network and Route Building
Solo / Solitaire Game
",$94.99,,,,,,
Through the Ages: A New Story of Civilization ,13,2015,30145,8.30836,8.08034,1.51897,4.4318,1482,121647,3,2,4,3,3.0,681,Strategy ,11,8.11078,"Action Points
Auction: Dutch
Auction/Bidding
Events
Income
Open Drafting
",$69.95,,,,,,
Twilight Struggle ,14,2005,47236,8.25243,8.07812,1.58169,3.603,3849,122560,13,2,2,2,2.0,867,War ,2,8.19238,"Action/Event
Advantage Token
Area Majority / Influence
Campaign / Battle Card Driven
Dice Rolling
Events
",$53.32,Strategy ,13,8.06217,,,
Great Western Trail ,15,2016,39122,8.22117,8.0572,1.30496,3.7068,1521,135207,31,2,4,3,3.0,842,Strategy ,12,8.07702,"Deck, Bag, and Pool Building
Hand Management
Ownership
Set Collection
Track Movement
Variable Set-up
",$44.95,,,,,,
Scythe ,16,2016,78448,8.16361,8.01187,1.44409,3.4407,3068,278139,33,1,5,4,4.0,1401,Strategy ,17,7.98198,"Area Majority / Influence
Card Play Conflict Resolution
Contracts
End Game Bonuses
Force Commitment
Grid Movement
",$67.32,,,,,,
The Castles of Burgundy ,17,2011,58902,8.1307,8.00731,1.24204,2.9883,2826,309786,14,2,4,2,2.0,1439,Strategy ,16,8.00622,"Dice Rolling
End Game Bonuses
Grid Coverage
Hexagon Grid
Pattern Building
Tile Placement
",$59.99,,,,,,
7 Wonders Duel ,18,2015,87424,8.09782,7.97423,1.1914,2.2271,2734,447619,24,2,2,2,2.0,1184,Strategy ,21,7.9384,"End Game Bonuses
Income
Layering
Market
Modular Board
Multi-Use Cards
",$27.99,,,,,,
Nemesis ,19,2018,27445,8.28909,7.96431,1.51743,3.4436,976,61754,11,1,5,4,5.0,643,Thematic,10,7.9738,"Campaign / Battle Card Driven
Cooperative Game
Dice Rolling
Hand Management
Hidden Roles
Interrupts
",$177.77,,,,,,
Eclipse: Second Dawn for the Galaxy ,20,2020,11490,8.49053,7.96421,1.3715,3.649,396,20786,4,2,6,4,4.0,259,Strategy ,14,8.04939,"Alliances
Area-Impulse
Dice Rolling
Grid Movement
Hexagon Grid
Income
",$155.00,,,,,,
Brass: Lancashire ,21,2007,23877,8.18909,7.96389,1.36997,3.8586,1612,71962,7,2,4,4,4.0,579,Strategy ,15,8.01135,"Hand Management
Income
Loans
Market
Network and Route Building
Tech Trees / Tech Tracks
",$67.97,,,,,,
Concordia ,22,2013,38201,8.10024,7.95146,1.19729,2.996,1510,124104,11,2,5,4,4.0,644,Strategy ,20,7.97069,"Action Retrieval
Advantage Token
Auction: Dutch
Deck, Bag, and Pool Building
End Game Bonuses
Hand Management
",$60.81,,,,,,
A Feast for Odin ,23,2016,26244,8.17762,7.94783,1.36523,3.8623,937,93793,9,1,4,3,3.0,539,Strategy ,19,7.97945,"Automatic Resource Growth
Dice Rolling
Grid Coverage
Income
Push Your Luck
Solo / Solitaire Game
",$103.41,,,,,,
Clank! Legacy: Acquisitions Incorporated ,24,2019,8423,8.56096,7.94176,1.42196,2.7339,124,48987,3,2,4,4,4.0,112,Thematic,7,8.1425,"Deck, Bag, and Pool Building
Delayed Purchase
End Game Bonuses
Events
Legacy Game
Map Addition
",$89.99,,,,,,
Wingspan ,25,2019,83090,8.06853,7.92105,1.35411,2.4542,2765,551602,42,1,4,3,3.0,1628,Strategy ,34,7.85769,"Contracts
Dice Rolling
End Game Bonuses
Hand Management
Once-Per-Game Abilities
Open Drafting
",$47.67,Family ,2,7.9358,,,
Terra Mystica ,26,2012,46434,8.079,7.91582,1.47273,3.9725,2876,153578,29,2,5,4,4.0,1005,Strategy ,22,7.92497,"End Game Bonuses
Hexagon Grid
Income
Increase Value of Unchosen Resources
Network and Route Building
Tech Trees / Tech Tracks
",$59.97,,,,,,
Arkham Horror: The Card Game ,27,2016,40699,8.13777,7.90878,1.53863,3.5297,1331,276871,15,1,2,2,2.0,953,Customizable,1,8.07846,"Action Points
Area Movement
Communication Limits
Cooperative Game
Deck Construction
Events
",$27.32,Thematic,12,7.92662,,,
Lost Ruins of Arnak ,28,2020,37615,8.07759,7.88967,1.23153,2.9039,1197,170827,35,1,4,3,3.0,719,Strategy ,27,7.88727,"Contracts
Deck, Bag, and Pool Building
Market
Multi-Use Cards
Once-Per-Game Abilities
Resource to Move
",$39.99,,,,,,
Root ,29,2018,45738,8.0779,7.8875,1.45324,3.7806,1855,153301,35,3,4,4,4.0,997,War ,12,7.7411,"Action Queue
Action Retrieval
Area Majority / Influence
Area Movement
Dice Rolling
Hand Management
",$49.99,Strategy ,33,7.86321,,,
Orléans ,30,2014,29624,8.062,7.87599,1.16635,3.0281,996,91161,18,2,4,4,4.0,396,Strategy ,25,7.90603,"Contracts
Deck, Bag, and Pool Building
End Game Bonuses
Events
Point to Point Movement
Simultaneous Action Selection
",$60.76,,,,,,
Great Western Trail (Second Edition) ,31,2021,9576,8.39604,7.86877,1.28175,3.7261,303,31002,0,1,4,3,3.0,180,Strategy ,18,7.98139,"Deck, Bag, and Pool Building
Hand Management
Ownership
Set Collection
Solo / Solitaire Game
Track Movement
",$50.00,,,,,,
Everdell ,32,2018,47819,8.04831,7.86498,1.29342,2.8061,1413,186452,21,1,4,3,3.0,809,Strategy ,39,7.82967,"Contracts
End Game Bonuses
Hand Management
Income
Open Drafting
Ownership
",$65.00,Family ,3,7.87366,,,
Mage Knight Board Game ,33,2011,32344,8.08558,7.85874,1.6352,4.3537,2646,74001,12,1,3,1,2.0,1250,Thematic,15,7.84704,"Card Play Conflict Resolution
Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Grid Movement
Hand Management
",$70.69,Strategy ,35,7.85718,,,
Viticulture Essential Edition ,34,2015,45367,8.0044,7.85392,1.27029,2.8901,1329,154865,1,1,5,3,4.0,729,Strategy ,38,7.84486,"Contracts
Hand Management
Solo / Solitaire Game
Turn Order: Auction
Victory Points as a Resource
Worker Placement
",$48.62,,,,,,
Barrage ,35,2019,15622,8.18023,7.84682,1.42559,4.0985,893,46705,25,2,4,4,4.0,429,Strategy ,23,7.91381,"Action Retrieval
Contracts
End Game Bonuses
Income
Network and Route Building
Ownership
",Unknown,,,,,,
The Crew: Mission Deep Sea ,36,2021,13622,8.206,7.84168,1.27591,2.0372,242,166844,5,3,5,4,4.0,175,Strategy ,24,7.90747,"Communication Limits
Cooperative Game
Hand Management
Scenario / Mission / Campaign Game
Trick-taking
",$14.95,Family ,1,7.93584,,,
Too Many Bones ,37,2017,11327,8.3467,7.8223,1.55119,3.8497,439,51969,4,1,4,3,3.0,305,Thematic,11,7.96237,"Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Die Icon Resolution
Grid Movement
Hand Management
",Unknown,Strategy ,28,7.88679,,,
Food Chain Magnate ,38,2015,19052,8.08145,7.81836,1.59633,4.2076,925,47524,12,2,5,3,4.0,332,Strategy ,32,7.86973,"Deck, Bag, and Pool Building
Delayed Purchase
Income
Market
Modular Board
Open Drafting
",$107.00,,,,,,
Pax Pamir: Second Edition ,39,2019,12012,8.23733,7.80506,1.48904,3.8381,599,41337,16,1,5,4,4.0,427,Strategy ,30,7.8806,"Action Points
Area Majority / Influence
Area Movement
Auction: Dutch
Hand Management
Increase Value of Unchosen Resources
",$92.20,,,,,,
Marvel Champions: The Card Game ,40,2019,21492,8.1332,7.80004,1.45873,2.9163,669,409916,12,1,3,1,2.0,692,Customizable,3,7.81817,"Cooperative Game
Deck Construction
Hand Management
Scenario / Mission / Campaign Game
Solo / Solitaire Game
Turn Order: Progressive
",$55.99,,,,,,
Puerto Rico ,41,2002,69567,7.92791,7.79125,1.39217,3.2719,6185,189603,19,2,5,4,4.0,1546,Strategy ,45,7.77824,"Action Drafting
End Game Bonuses
Follow
Hidden Victory Points
Increase Value of Unchosen Resources
Turn Order: Progressive
",$98.00,,,,,,
Underwater Cities ,42,2018,17784,8.07516,7.78902,1.19002,3.6056,644,65557,15,1,3,2,2.0,532,Strategy ,36,7.84856,"End Game Bonuses
Hand Management
Income
Network and Route Building
Solo / Solitaire Game
Turn Order: Stat-Based
",$57.58,,,,,,
Caverna: The Cave Farmers ,43,2013,33539,7.9589,7.7794,1.34372,3.7809,1620,78417,14,1,5,4,4.0,536,Strategy ,42,7.79578,"Automatic Resource Growth
Increase Value of Unchosen Resources
Solo / Solitaire Game
Tile Placement
Turn Order: Claim Action
Worker Placement
",$75.99,,,,,,
Blood Rage ,44,2015,44722,7.94314,7.77244,1.41539,2.8734,1445,93839,19,3,4,4,4.0,904,Strategy ,47,7.7545,"Action Points
Area Majority / Influence
Area Movement
Card Play Conflict Resolution
Closed Drafting
Hand Management
",$89.99,,,,,,
Anachrony ,45,2017,17258,8.08699,7.76479,1.39754,4.0225,933,41386,9,1,4,3,3.0,331,Strategy ,41,7.81752,"Dice Rolling
Solo / Solitaire Game
Turn Order: Claim Action
Variable Player Powers
Worker Placement
Worker Placement, Different Worker Types
",Unknown,,,,,,
Cascadia ,46,2021,29308,7.97053,7.76412,1.1109,1.8371,841,168521,22,1,4,2,3.0,513,Abstract ,1,7.7356,"End Game Bonuses
Hexagon Grid
Open Drafting
Pattern Building
Solo / Solitaire Game
Tile Placement
",$32.93,Family ,4,7.80185,,,
Agricola ,47,2007,71008,7.88628,7.76229,1.55077,3.6369,6260,270077,36,1,5,3,4.0,1940,Strategy ,48,7.74923,"Automatic Resource Growth
Closed Drafting
Enclosure
Hand Management
Increase Value of Unchosen Resources
Solo / Solitaire Game
",$60.73,,,,,,
On Mars ,48,2020,11449,8.21299,7.76022,1.50909,4.6708,1446,28979,16,1,4,3,3.0,357,Strategy ,37,7.8464,"Closed Drafting
Contracts
Delayed Purchase
End Game Bonuses
Hand Management
Hexagon Grid
",$122.49,,,,,,
Crokinole ,49,1876,16691,8.01265,7.74394,1.61196,1.2348,660,189199,0,2,2,2,2.0,242,Family ,5,7.80183,"Flicking
Team-Based Game
",$165.00,,,,,,
Pandemic Legacy: Season 0 ,50,2020,6703,8.43286,7.73756,1.55045,3.1353,133,49876,5,2,4,2,2.0,111,Thematic,9,8.00115,"Action Points
Cooperative Game
Hand Management
Legacy Game
Point to Point Movement
Scenario / Mission / Campaign Game
",$69.90,Strategy ,31,7.87592,,,
Pandemic Legacy: Season 2 ,51,2017,16125,8.04566,7.73497,1.68643,3.2466,296,115666,10,2,4,4,4.0,216,Thematic,14,7.84765,"Action Points
Cooperative Game
Hand Management
Legacy Game
Pick-up and Deliver
Point to Point Movement
",$53.99,Strategy ,44,7.78251,,,
Kanban EV ,52,2020,6489,8.44893,7.73317,1.29993,4.3178,387,15708,8,1,4,3,3.0,149,Strategy ,29,7.88497,"Action Points
Hand Management
Variable Phase Order
Worker Placement
",$131.94,,,,,,
Mansions of Madness: Second Edition ,53,2016,34318,7.96497,7.73041,1.49939,2.67,697,85664,9,1,5,3,4.0,436,Thematic,20,7.76402,"Area Movement
Cooperative Game
Dice Rolling
Hand Management
Map Addition
Modular Board
",$87.99,,,,,,
Sleeping Gods ,54,2021,9424,8.2854,7.72774,1.46144,3.2255,337,29761,13,1,3,2,2.0,282,Thematic,13,7.86881,"Action Points
Cooperative Game
Events
Hand Management
Narrative Choice / Paragraph
Push Your Luck
",$89.00,,,,,,
Maracaibo ,55,2019,14781,8.05891,7.72587,1.28223,3.9087,745,51701,13,1,4,3,3.0,360,Strategy ,43,7.79199,"Contracts
End Game Bonuses
Events
Hand Management
Income
Movement Points
",$60.99,,,,,,
Lisboa ,56,2017,10250,8.19615,7.72034,1.46221,4.5942,961,25087,21,1,4,3,3.0,268,Strategy ,40,7.82206,"Area Majority / Influence
Hand Management
Open Drafting
Solo / Solitaire Game
Tile Placement
",$125.99,,,,,,
Tzolk'in: The Mayan Calendar ,57,2012,37738,7.86816,7.7154,1.26246,3.6712,1901,113374,26,2,4,4,4.0,578,Strategy ,51,7.73357,"Bias
End Game Bonuses
Turn Order: Claim Action
Worker Placement
",$59.95,,,,,,
Frosthaven ,58,2022,5141,8.86773,7.71294,2.17416,4.3192,307,38299,1,1,4,3,3.0,166,Thematic,8,8.08892,"Campaign / Battle Card Driven
Communication Limits
Cooperative Game
Deck Construction
Deck, Bag, and Pool Building
Grid Movement
",$270.93,Strategy ,26,7.90442,,,
Power Grid ,59,2004,63579,7.82021,7.71204,1.33252,3.2572,4910,148454,20,3,6,4,5.0,1266,Strategy ,54,7.70832,"Auction: Turn Order Until Pass
Auction/Bidding
Catch the Leader
Income
Market
Network and Route Building
",$42.83,,,,,,
Heat: Pedal to the Metal ,60,2022,11509,8.14284,7.70088,1.29425,2.1734,346,48332,9,1,6,5,6.0,328,Family ,6,7.77699,"Catch the Leader
Hand Management
Race
Simulation
Simultaneous Action Selection
Track Movement
",$140.99,,,,,,
The Quacks of Quedlinburg ,61,2018,44277,7.83625,7.69369,1.2379,1.9471,1058,212615,25,2,4,4,4.0,592,Family ,7,7.7224,"Catch the Leader
Deck, Bag, and Pool Building
Delayed Purchase
Dice Rolling
Events
Market
",$39.99,,,,,,
Clans of Caledonia ,62,2017,19528,7.94918,7.69202,1.18386,3.4576,767,65924,14,1,4,4,4.0,387,Strategy ,50,7.73797,"Commodity Speculation
Contracts
Market
Modular Board
Network and Route Building
Solo / Solitaire Game
",Unknown,,,,,,
The Crew: The Quest for Planet Nine ,63,2019,37915,7.83881,7.68973,1.30223,1.9646,762,514611,37,3,5,4,4.0,643,Family ,8,7.71916,"Communication Limits
Cooperative Game
Hand Management
Scenario / Mission / Campaign Game
Trick-taking
",$14.95,,,,,,
Paladins of the West Kingdom ,64,2019,16214,7.9962,7.68717,1.23739,3.7098,727,47041,7,1,3,2,2.0,462,Strategy ,49,7.74144,"End Game Bonuses
Market
Open Drafting
Solo / Solitaire Game
Worker Placement
Worker Placement, Different Worker Types
",$50.03,,,,,,
Le Havre ,65,2008,30643,7.85003,7.68645,1.41591,3.7268,2006,80340,21,1,4,3,3.0,833,Strategy ,52,7.7148,"Automatic Resource Growth
End Game Bonuses
Increase Value of Unchosen Resources
Loans
Ownership
Solo / Solitaire Game
",Unknown,,,,,,
Star Wars: Imperial Assault ,66,2014,23975,7.96976,7.68316,1.41934,3.302,904,88978,13,2,5,2,2.0,399,Thematic,22,7.7206,"Dice Rolling
Die Icon Resolution
Grid Movement
Line of Sight
Modular Board
Role Playing
",$111.49,,,,,,
The Gallerist ,67,2015,13689,8.03158,7.68269,1.35227,4.2583,902,32290,11,1,4,3,4.0,298,Strategy ,46,7.75683,"Area Majority / Influence
Commodity Speculation
Contracts
Investment
Open Drafting
Point to Point Movement
",$129.95,,,,,,
Mechs vs. Minions ,68,2016,16953,7.9825,7.67629,1.35183,2.4318,308,61844,14,2,4,4,4.0,245,Thematic,21,7.7533,"Action Queue
Bias
Cooperative Game
Dice Rolling
Modular Board
Open Drafting
",Unknown,Strategy ,56,7.70629,,,
Grand Austria Hotel ,69,2015,19149,7.92621,7.6663,1.26428,3.2174,745,86404,6,2,3,2,2.0,663,Strategy ,53,7.71151,"Action Drafting
Contracts
Dice Rolling
End Game Bonuses
Hand Management
Set Collection
",$62.39,,,,,,
Kingdom Death: Monster ,70,2015,9288,8.50549,7.66327,2.01885,4.2662,586,46952,6,1,4,4,4.0,338,Thematic,16,7.8398,"Cooperative Game
Critical Hits and Failures
Dice Rolling
Grid Movement
Role Playing
Solo / Solitaire Game
",$856.99,,,,,,
Android: Netrunner ,71,2012,29522,7.87756,7.6593,1.66496,3.4015,1644,334937,12,2,2,2,2.0,404,Customizable,5,7.77123,"Action Points
Deck Construction
Hand Management
Race
Secret Unit Deployment
Take That
",Unknown,,,,,,
Cthulhu: Death May Die ,72,2019,10396,8.17304,7.65673,1.40286,2.4459,305,38910,7,1,4,3,3.0,235,Thematic,18,7.80242,"Action Points
Cooperative Game
Dice Rolling
Scenario / Mission / Campaign Game
Solo / Solitaire Game
Variable Player Powers
",$87.99,,,,,,
Azul ,73,2017,82441,7.75924,7.64906,1.15257,1.7591,2175,581926,47,2,4,2,2.0,1395,Abstract ,2,7.66125,"End Game Bonuses
Open Drafting
Pattern Building
Tile Placement
Turn Order: Claim Action
",$31.99,Family ,9,7.65775,,,
Race for the Galaxy ,74,2007,53805,7.74666,7.634,1.47061,2.9908,3687,666120,16,2,4,2,2.0,1191,Strategy ,67,7.63556,"Follow
Hand Management
Income
Market
Multi-Use Cards
Set Collection
",$27.79,,,,,,
Agricola (Revised Edition) ,75,2016,16222,7.96155,7.63365,1.43035,3.465,557,46331,0,1,4,4,4.0,268,Strategy ,59,7.67175,"Enclosure
Hand Management
Worker Placement
Advantage Token
Automatic Resource Growth
Closed Drafting
",$60.73,,,,,,
Aeon's End ,76,2016,18891,7.92804,7.63247,1.35475,2.8004,541,101735,8,1,4,2,2.0,540,Strategy ,63,7.64637,"Chit-Pull System
Cooperative Game
Deck, Bag, and Pool Building
Delayed Purchase
Hand Management
Open Drafting
",$53.50,,,,,,
Eclipse: New Dawn for the Galaxy ,77,2011,28042,7.83977,7.63223,1.50565,3.7038,1941,53711,21,2,6,4,4.0,620,Strategy ,64,7.64207,"Dice Rolling
Grid Movement
Hexagon Grid
Map Addition
Modular Board
Player Elimination
",Unknown,,,,,,
Eclipse: New Dawn for the Galaxy ,78,2011,28042,7.83977,7.63223,1.50565,3.7038,1941,53711,21,2,6,4,4.0,620,Strategy ,64,7.64207,"Dice Rolling
Grid Movement
Hexagon Grid
Map Addition
Modular Board
Player Elimination
",Unknown,,,,,,
Five Tribes ,79,2014,39933,7.77755,7.62979,1.26901,2.8508,1468,114736,20,2,4,2,2.0,847,Strategy ,69,7.63023,"Auction/Bidding
Constrained Bidding
End Game Bonuses
Hidden Victory Points
Mancala
Modular Board
",$64.99,,,,,,
Clank!: A Deck-Building Adventure ,80,2016,39795,7.78888,7.6293,1.20311,2.2229,875,138953,16,2,4,3,3.0,611,Strategy ,73,7.61107,"Action Points
Deck, Bag, and Pool Building
Delayed Purchase
End Game Bonuses
Movement Points
Open Drafting
",$53.80,Family ,10,7.64275,,,
Fields of Arle ,81,2014,10417,8.03596,7.61245,1.29464,3.8626,524,31886,7,1,2,2,2.0,212,Strategy ,55,7.70793,"Automatic Resource Growth
Highest-Lowest Scoring
Income
Set Collection
Solo / Solitaire Game
Turn Order: Claim Action
",Unknown,,,,,,
Through the Ages: A Story of Civilization ,82,2006,19113,7.85533,7.61194,1.69848,4.1745,1828,71872,13,2,4,3,3.0,682,Strategy ,60,7.6656,"Action Points
Auction: Dutch
Auction/Bidding
Hand Management
Open Drafting
",Unknown,,,,,,
Teotihuacan: City of Gods ,83,2018,18854,7.87753,7.61136,1.29922,3.7808,821,66803,20,1,4,4,4.0,351,Strategy ,62,7.6566,"Area Movement
Rondel
Set Collection
Solo / Solitaire Game
Tile Placement
Track Movement
",$49.95,,,,,,
Lords of Waterdeep ,84,2012,53736,7.73531,7.59819,1.27178,2.4529,2303,172534,11,2,5,3,4.0,743,Strategy ,80,7.56991,"Contracts
Hidden Roles
Increase Value of Unchosen Resources
Ownership
Set Collection
Take That
",$34.99,,,,,,
Beyond the Sun ,85,2020,12386,7.95536,7.59738,1.14868,3.125,376,45804,6,2,4,3,3.0,244,Strategy ,58,7.67984,"Area Majority / Influence
Contracts
Events
Point to Point Movement
Tech Trees / Tech Tracks
Worker Placement
",$62.97,,,,,,
Obsession ,86,2018,8493,8.15067,7.59423,1.348,3.1089,303,38676,1,1,4,2,2.0,227,Thematic,23,7.70522,"Deck, Bag, and Pool Building
Hand Management
Open Drafting
Solo / Solitaire Game
Worker Placement
Worker Placement, Different Worker Types
",Unknown,Strategy ,57,7.69569,,,
The Voyages of Marco Polo ,87,2015,24154,7.79622,7.5933,1.26408,3.1865,1110,90432,22,2,4,4,4.0,463,Strategy ,70,7.62554,"Contracts
Dice Rolling
Point to Point Movement
Resource to Move
Turn Order: Claim Action
Variable Player Powers
",Unknown,,,,,,
Robinson Crusoe: Adventures on the Cursed Island ,88,2012,41821,7.76303,7.59243,1.44297,3.8106,2175,109704,9,1,4,1,2.0,985,Thematic,29,7.58278,"Action Queue
Area Movement
Cooperative Game
Dice Rolling
Die Icon Resolution
Events
",$49.95,,,,,,
Dominant Species ,89,2010,20568,7.82161,7.59016,1.51478,4.0396,1567,34447,9,3,6,4,4.0,545,Strategy ,65,7.63696,"Action Queue
Area Majority / Influence
End Game Bonuses
Grid Movement
Hexagon Grid
Map Addition
",$66.00,,,,,,
7 Wonders ,90,2010,100554,7.6926,7.58642,1.27771,2.3197,5111,562114,53,3,7,4,5.0,2345,Strategy ,89,7.55048,"Closed Drafting
Hand Management
Neighbor Scope
Set Collection
Simultaneous Action Selection
Variable Player Powers
",$49.99,Family ,11,7.58304,,,
Tainted Grail: The Fall of Avalon ,91,2019,11413,8.12844,7.56753,1.77351,3.3386,446,53531,14,1,3,1,2.0,475,Thematic,24,7.6854,"Area Movement
Campaign / Battle Card Driven
Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Hand Management
",$116.95,,,,,,
The Search for Planet X ,92,2020,10101,7.99472,7.56318,1.20878,2.3671,237,40189,6,1,4,2,3.0,188,Strategy ,66,7.63674,"Action Points
Deduction
End Game Bonuses
Paper-and-Pencil
Solo / Solitaire Game
Turn Order: Time Track
",$34.92,,,,,,
The 7th Continent ,93,2017,21559,7.86379,7.55864,1.68549,2.902,602,68660,21,1,3,1,2.0,634,Thematic,27,7.59744,"Area Movement
Cooperative Game
Hand Management
Map Addition
Modular Board
Scenario / Mission / Campaign Game
",$69.00,,,,,,
Architects of the West Kingdom ,94,2018,27071,7.75181,7.55566,1.18055,2.7497,911,92793,21,1,5,4,4.0,508,Strategy ,81,7.56799,"Contracts
Open Drafting
Solo / Solitaire Game
Variable Player Powers
Worker Placement
",$50.98,,,,,,
El Grande ,95,1995,26911,7.73372,7.55561,1.33494,3.0374,2192,49534,4,3,5,5,5.0,613,Strategy ,77,7.58884,"Action Drafting
Area Majority / Influence
Area Movement
Auction/Bidding
Hand Management
Memory
",Unknown,,,,,,
Battlestar Galactica: The Board Game ,96,2008,35884,7.72969,7.54482,1.59547,3.2482,2184,80355,13,4,6,5,5.0,1044,Thematic,32,7.54463,"Area Movement
Dice Rolling
Hand Management
Hidden Roles
Once-Per-Game Abilities
Role Playing
",Unknown,,,,,,
Keyflower ,97,2012,22381,7.73629,7.53924,1.31994,3.3434,993,59109,12,2,6,4,4.0,414,Strategy ,79,7.57673,"Auction: Fixed Placement
Auction: Multiple Lot
Auction/Bidding
Constrained Bidding
End Game Bonuses
Hexagon Grid
",$71.89,,,,,,
Decrypto ,98,2018,20231,7.77599,7.53711,1.26435,1.8114,350,67123,18,4,8,4,4.0,294,Party ,1,7.62642,"Communication Limits
Targeted Clues
Team-Based Game
",$24.99,,,,,,
Inis ,99,2016,18645,7.82512,7.53317,1.46671,2.8896,489,40436,7,2,4,4,4.0,435,Strategy ,86,7.55618,"Area Majority / Influence
Area Movement
Campaign / Battle Card Driven
Closed Drafting
Hand Management
Interrupts
",$72.79,,,,,,
Caylus ,100,2005,28794,7.72388,7.53269,1.47567,3.7987,3244,67181,18,2,5,3,3.0,759,Strategy ,85,7.55662,"Action Queue
Ownership
Turn Order: Claim Action
Turn Order: Pass Order
Variable Set-up
Worker Placement
",$124.99,,,,,,
Raiders of the North Sea ,101,2015,22698,7.74727,7.53224,1.18591,2.5505,643,69901,9,2,4,3,3.0,332,Strategy ,87,7.55295,"Contracts
Dice Rolling
Hand Management
Worker Placement
Worker Placement, Different Worker Types
",$48.52,,,,,,
Mombasa ,102,2015,12972,7.85637,7.52696,1.27035,3.8992,645,26830,19,2,4,4,4.0,255,Strategy ,74,7.60586,"Action Queue
Area Majority / Influence
Deck, Bag, and Pool Building
Hand Management
Investment
Open Drafting
",$149.99,,,,,,
Dominion: Intrigue ,103,2009,33175,7.69345,7.52631,1.35632,2.4144,1361,104282,8,2,4,3,3.0,326,Strategy ,97,7.52963,"Deck, Bag, and Pool Building
Delayed Purchase
Hand Management
",$33.54,,,,,,
